,Sample.Case,Virus,Sample.Type,County,Town,State,Date
415,415,WNV,Mosquito,Norfolk,Dedham,MA,9/4/24
433,433,WNV,Mosquito,Norfolk,Dedham,MA,9/10/24
1,1,WNV,Mosquito,Norfolk,Quincy,MA,6/25/24
2,2,WNV,Mosquito,Norfolk,Quincy,MA,6/25/24
69,69,WNV,Mosquito,Norfolk,Quincy,MA,7/23/24
71,71,WNV,Mosquito,Norfolk,Quincy,MA,7/23/24
141,141,WNV,Mosquito,Norfolk,Quincy,MA,7/30/24
142,142,WNV,Mosquito,Norfolk,Quincy,MA,7/30/24
188,188,WNV,Mosquito,Norfolk,Quincy,MA,8/6/24
189,189,WNV,Mosquito,Norfolk,Quincy,MA,8/6/24
193,193,WNV,Mosquito,Norfolk,Quincy,MA,8/6/24
413,413,WNV,Mosquito,Norfolk,Quincy,MA,9/4/24
582,23,WNV,Mosquito,Norfolk,Quincy,MA,8/2/23
614,55,WNV,Mosquito,Norfolk,Quincy,MA,8/16/23
729,171,WNV,Mosquito,Norfolk,Quincy,MA,9/20/23
730,172,WNV,Mosquito,Norfolk,Quincy,MA,9/20/23
280,280,WNV,Mosquito,Suffolk,Hyde Park,MA,8/8/24
281,281,WNV,Mosquito,Suffolk,Hyde Park,MA,8/13/24
282,282,WNV,Mosquito,Suffolk,Hyde Park,MA,8/13/24
604,45,WNV,Mosquito,Hampshire,Granby,MA,8/9/23
575,16,WNV,Mosquito,Hampshire,South Hadley,MA,7/26/23
615,56,WNV,Mosquito,Hampshire,South Hadley,MA,8/16/23
671,112,WNV,Mosquito,Hampshire,South Hadley,MA,8/30/23
32,32,WNV,Mosquito,Worcester,Worcester,MA,7/19/24
33,33,WNV,Mosquito,Worcester,Worcester,MA,7/19/24
79,79,WNV,Mosquito,Worcester,Worcester,MA,7/25/24
80,80,WNV,Mosquito,Worcester,Worcester,MA,7/25/24
139,139,WNV,Mosquito,Worcester,Worcester,MA,8/1/24
140,140,WNV,Mosquito,Worcester,Worcester,MA,8/2/24
269,269,WNV,Mosquito,Worcester,Worcester,MA,8/8/24
312,312,WNV,Mosquito,Worcester,Worcester,MA,8/16/24
349,349,WNV,Mosquito,Worcester,Worcester,MA,8/23/24
394,394,WNV,Mosquito,Worcester,Worcester,MA,8/30/24
395,395,WNV,Mosquito,Worcester,Worcester,MA,8/30/24
408,408,WNV,Mosquito,Worcester,Worcester,MA,9/6/24
409,409,WNV,Mosquito,Worcester,Worcester,MA,9/6/24
480,24,WNV,Mosquito,Worcester,Worcester,MA,8/5/22
490,34,WNV,Mosquito,Worcester,Worcester,MA,8/11/22
491,35,WNV,Mosquito,Worcester,Worcester,MA,8/11/22
561,2,WNV,Mosquito,Worcester,Worcester,MA,7/7/23
565,6,WNV,Mosquito,Worcester,Worcester,MA,7/20/23
663,104,WNV,Mosquito,Worcester,Worcester,MA,9/1/23
705,147,WNV,Mosquito,Worcester,Worcester,MA,9/12/23
138,138,WNV,Mosquito,Worcester,Westborough,MA,8/1/24
284,284,WNV,Mosquito,Suffolk,Mattapan,MA,8/13/24
724,166,WNV,Mosquito,Hampshire,Belchertown,MA,9/20/23
87,87,WNV,Mosquito,Middlesex,Framingham,MA,7/30/24
589,30,WNV,Mosquito,Middlesex,Framingham,MA,8/8/23
590,31,WNV,Mosquito,Middlesex,Framingham,MA,8/8/23
654,95,WNV,Mosquito,Middlesex,Framingham,MA,8/29/23
196,196,WNV,Mosquito,Norfolk,Needham,MA,8/6/24
18,18,WNV,Mosquito,Middlesex,Natick,MA,7/11/24
261,261,WNV,Mosquito,Middlesex,Natick,MA,8/8/24
498,42,WNV,Mosquito,Middlesex,Natick,MA,8/18/22
513,57,WNV,Mosquito,Middlesex,Natick,MA,8/26/22
494,38,WNV,Mosquito,Norfolk,Wellesley,MA,8/16/22
591,32,WNV,Mosquito,Norfolk,Wellesley,MA,8/8/23
592,33,WNV,Mosquito,Norfolk,Wellesley,MA,8/8/23
291,291,WNV,Mosquito,Plymouth,Hull,MA,8/13/24
264,264,WNV,Mosquito,Worcester,Southborough,MA,8/9/24
670,111,WNV,Mosquito,Hampshire,Northampton,MA,8/30/23
732,168,WNV,Mosquito,Hampshire,Northampton,MA,9/22/23
263,263,WNV,Mosquito,Worcester,Northborough,MA,8/8/24
393,393,WNV,Mosquito,Berkshire,Becket,MA,8/29/24
35,35,WNV,Mosquito,Norfolk,Brookline,MA,7/22/24
471,15,WNV,Mosquito,Norfolk,Brookline,MA,8/1/22
472,16,WNV,Mosquito,Norfolk,Brookline,MA,8/1/22
473,17,WNV,Mosquito,Norfolk,Brookline,MA,8/1/22
502,46,WNV,Mosquito,Norfolk,Brookline,MA,8/22/22
504,48,WNV,Mosquito,Norfolk,Brookline,MA,8/22/22
505,49,WNV,Mosquito,Norfolk,Brookline,MA,8/22/22
506,50,WNV,Mosquito,Norfolk,Brookline,MA,8/22/22
514,58,WNV,Mosquito,Norfolk,Brookline,MA,8/29/22
515,59,WNV,Mosquito,Norfolk,Brookline,MA,8/29/22
560,1,WNV,Mosquito,Norfolk,Brookline,MA,7/6/23
623,64,WNV,Mosquito,Norfolk,Brookline,MA,8/21/23
423,423,WNV,Mosquito,Middlesex,Newton,MA,9/5/24
486,30,WNV,Mosquito,Middlesex,Newton,MA,8/9/22
532,76,WNV,Mosquito,Hampshire,Hadley,MA,8/31/22
576,17,WNV,Mosquito,Hampshire,Hadley,MA,7/26/23
34,34,WNV,Mosquito,Middlesex,Marlborough,MA,7/19/24
78,78,WNV,Mosquito,Middlesex,Marlborough,MA,7/25/24
285,285,WNV,Mosquito,Suffolk,Brighton,MA,8/13/24
255,255,WNV,Mosquito,Worcester,Boylston,MA,8/9/24
47,47,WNV,Mosquito,Suffolk,Boston,MA,7/23/24
48,48,WNV,Mosquito,Suffolk,Boston,MA,7/23/24
49,49,WNV,Mosquito,Suffolk,Boston,MA,7/23/24
50,50,WNV,Mosquito,Suffolk,Boston,MA,7/23/24
51,51,WNV,Mosquito,Suffolk,Boston,MA,7/23/24
52,52,WNV,Mosquito,Suffolk,Boston,MA,7/23/24
53,53,WNV,Mosquito,Suffolk,Boston,MA,7/23/24
54,54,WNV,Mosquito,Suffolk,Boston,MA,7/23/24
55,55,WNV,Mosquito,Suffolk,Boston,MA,7/23/24
92,92,WNV,Mosquito,Suffolk,Boston,MA,7/30/24
93,93,WNV,Mosquito,Suffolk,Boston,MA,7/30/24
172,172,WNV,Mosquito,Suffolk,Boston,MA,7/31/24
173,173,WNV,Mosquito,Suffolk,Boston,MA,8/6/24
174,174,WNV,Mosquito,Suffolk,Boston,MA,8/6/24
175,175,WNV,Mosquito,Suffolk,Boston,MA,8/6/24
177,177,WNV,Mosquito,Suffolk,Boston,MA,8/6/24
286,286,WNV,Mosquito,Suffolk,Boston,MA,8/13/24
334,334,WNV,Mosquito,Suffolk,Boston,MA,8/20/24
335,335,WNV,Mosquito,Suffolk,Boston,MA,8/20/24
442,442,WNV,Mosquito,Suffolk,Boston,MA,9/17/24
443,443,WNV,Mosquito,Suffolk,Boston,MA,9/17/24
460,4,WNV,Mosquito,Suffolk,Boston,MA,7/25/22
461,5,WNV,Mosquito,Suffolk,Boston,MA,7/25/22
467,11,WNV,Mosquito,Suffolk,Boston,MA,8/1/22
468,12,WNV,Mosquito,Suffolk,Boston,MA,8/1/22
469,13,WNV,Mosquito,Suffolk,Boston,MA,8/1/22
470,14,WNV,Mosquito,Suffolk,Boston,MA,8/1/22
476,20,WNV,Mosquito,Suffolk,Boston,MA,8/2/22
477,21,WNV,Mosquito,Suffolk,Boston,MA,8/2/22
478,22,WNV,Mosquito,Suffolk,Boston,MA,8/2/22
495,39,WNV,Mosquito,Suffolk,Boston,MA,8/16/22
496,40,WNV,Mosquito,Suffolk,Boston,MA,8/16/22
499,43,WNV,Mosquito,Suffolk,Boston,MA,8/22/22
500,44,WNV,Mosquito,Suffolk,Boston,MA,8/22/22
501,45,WNV,Mosquito,Suffolk,Boston,MA,8/22/22
516,60,WNV,Mosquito,Suffolk,Boston,MA,8/29/22
517,61,WNV,Mosquito,Suffolk,Boston,MA,8/29/22
518,62,WNV,Mosquito,Suffolk,Boston,MA,8/29/22
520,64,WNV,Mosquito,Suffolk,Boston,MA,8/30/22
538,82,WNV,Mosquito,Suffolk,Boston,MA,9/1/22
539,83,WNV,Mosquito,Suffolk,Boston,MA,9/1/22
540,84,WNV,Mosquito,Suffolk,Boston,MA,9/1/22
541,85,WNV,Mosquito,Suffolk,Boston,MA,9/1/22
542,86,WNV,Mosquito,Suffolk,Boston,MA,9/1/22
543,87,WNV,Mosquito,Suffolk,Boston,MA,9/1/22
547,91,WNV,Mosquito,Suffolk,Boston,MA,9/8/22
548,92,WNV,Mosquito,Suffolk,Boston,MA,9/13/22
549,93,WNV,Mosquito,Suffolk,Boston,MA,9/13/22
550,94,WNV,Mosquito,Suffolk,Boston,MA,9/13/22
551,95,WNV,Mosquito,Suffolk,Boston,MA,9/13/22
563,4,WNV,Mosquito,Suffolk,Boston,MA,7/18/23
593,34,WNV,Mosquito,Suffolk,Boston,MA,8/3/23
594,35,WNV,Mosquito,Suffolk,Boston,MA,8/3/23
595,36,WNV,Mosquito,Suffolk,Boston,MA,8/3/23
596,37,WNV,Mosquito,Suffolk,Boston,MA,8/3/23
597,38,WNV,Mosquito,Suffolk,Boston,MA,8/3/23
598,39,WNV,Mosquito,Suffolk,Boston,MA,8/3/23
609,50,WNV,Mosquito,Suffolk,Boston,MA,8/15/23
610,51,WNV,Mosquito,Suffolk,Boston,MA,8/15/23
611,52,WNV,Mosquito,Suffolk,Boston,MA,8/15/23
640,81,WNV,Mosquito,Suffolk,Boston,MA,8/22/23
641,82,WNV,Mosquito,Suffolk,Boston,MA,8/22/23
655,96,WNV,Mosquito,Suffolk,Boston,MA,8/29/23
672,113,WNV,Mosquito,Suffolk,Boston,MA,8/30/23
673,114,WNV,Mosquito,Suffolk,Boston,MA,8/29/23
695,136,WNV,Mosquito,Suffolk,Boston,MA,9/7/23
696,137,WNV,Mosquito,Suffolk,Boston,MA,9/7/23
697,138,WNV,Mosquito,Suffolk,Boston,MA,9/7/23
698,139,WNV,Mosquito,Suffolk,Boston,MA,9/7/23
715,157,WNV,Mosquito,Suffolk,Boston,MA,9/13/23
283,283,WNV,Mosquito,Suffolk,Allston,MA,8/13/24
21,21,WNV,Mosquito,Middlesex,Wayland,MA,7/16/24
359,359,WNV,Mosquito,Middlesex,Watertown,MA,8/22/24
360,360,WNV,Mosquito,Middlesex,Watertown,MA,8/22/24
568,9,WNV,Mosquito,Middlesex,Watertown,MA,7/25/23
569,10,WNV,Mosquito,Middlesex,Watertown,MA,7/25/23
570,11,WNV,Mosquito,Middlesex,Watertown,MA,7/25/23
571,12,WNV,Mosquito,Middlesex,Watertown,MA,7/25/23
572,13,WNV,Mosquito,Middlesex,Watertown,MA,7/25/23
573,14,WNV,Mosquito,Middlesex,Watertown,MA,7/25/23
12,12,WNV,Mosquito,Middlesex,Cambridge,MA,7/9/24
42,42,WNV,Mosquito,Berkshire,Richmond,MA,7/19/24
353,353,WNV,Mosquito,Berkshire,Richmond,MA,8/27/24
354,354,WNV,Mosquito,Berkshire,Richmond,MA,8/27/24
427,427,WNV,Mosquito,Berkshire,Richmond,MA,9/10/24
608,49,WNV,Mosquito,Berkshire,Richmond,MA,8/10/23
669,110,WNV,Mosquito,Berkshire,Richmond,MA,8/31/23
747,183,WNV,Mosquito,Hampshire,Amherst,MA,9/28/23
364,364,WNV,Mosquito,Suffolk,Winthrop,MA,8/26/24
404,404,WNV,Mosquito,Suffolk,Winthrop,MA,9/4/24
440,440,WNV,Mosquito,Middlesex,Waltham,MA,9/11/24
464,8,WNV,Mosquito,Middlesex,Waltham,MA,7/26/22
578,19,WNV,Mosquito,Middlesex,Waltham,MA,8/1/23
579,20,WNV,Mosquito,Middlesex,Waltham,MA,8/1/23
580,21,WNV,Mosquito,Middlesex,Waltham,MA,8/1/23
531,75,WNV,Mosquito,Worcester,Rutland,MA,8/31/22
274,274,EEE,Mosquito,Middlesex,Sudbury,MA,8/8/24
275,275,EEE,Mosquito,Middlesex,Sudbury,MA,8/8/24
329,329,EEE,Mosquito,Middlesex,Sudbury,MA,8/20/24
330,330,EEE,Mosquito,Middlesex,Sudbury,MA,8/20/24
331,331,EEE,Mosquito,Middlesex,Sudbury,MA,8/20/24
332,332,EEE,Mosquito,Middlesex,Sudbury,MA,8/20/24
400,400,EEE,Mosquito,Middlesex,Sudbury,MA,8/29/24
401,401,EEE,Mosquito,Middlesex,Sudbury,MA,8/29/24
402,402,EEE,Mosquito,Middlesex,Sudbury,MA,8/29/24
403,403,WNV,Mosquito,Middlesex,Sudbury,MA,8/29/24
462,6,WNV,Mosquito,Middlesex,Somerville,MA,7/25/22
465,9,WNV,Mosquito,Middlesex,Somerville,MA,8/1/22
466,10,WNV,Mosquito,Middlesex,Somerville,MA,8/1/22
474,18,WNV,Mosquito,Middlesex,Somerville,MA,8/1/22
503,47,WNV,Mosquito,Middlesex,Somerville,MA,8/22/22
553,97,WNV,Mosquito,Middlesex,Somerville ,MA,9/19/22
176,176,WNV,Mosquito,Suffolk,Chelsea,MA,8/6/24
521,65,WNV,Mosquito,Suffolk ,Chelsea,MA,8/30/22
357,357,WNV,Mosquito,Middlesex,Belmont,MA,8/22/24
358,358,WNV,Mosquito,Middlesex,Belmont,MA,8/22/24
276,276,WNV,Mosquito,Middlesex,Everett,MA,8/13/24
179,179,WNV,Mosquito,Suffolk,Revere,MA,8/5/24
356,356,WNV,Mosquito,Middlesex,Arlington,MA,8/22/24
437,437,WNV,Mosquito,Middlesex,Medford,MA,9/11/24
438,438,WNV,Mosquito,Middlesex,Medford,MA,9/11/24
439,439,WNV,Mosquito,Middlesex,Medford,MA,9/11/24
484,28,WNV,Mosquito,Middlesex,Medford,MA,8/9/22
485,29,WNV,Mosquito,Middlesex,Medford,MA,8/9/22
17,17,WNV,Mosquito,Worcester,Clinton,MA,7/11/24
410,410,WNV,Mosquito,Worcester,Clinton,MA,9/6/24
277,277,WNV,Mosquito,Middlesex,Malden,MA,8/13/24
266,266,WNV,Mosquito,Middlesex,Stow,MA,8/8/24
270,270,WNV,Mosquito,Berkshire,Hinsdale,MA,8/6/24
272,272,WNV,Mosquito,Berkshire,Pittsfield,MA,8/9/24
326,326,WNV,Mosquito,Berkshire,Pittsfield,MA,8/14/24
390,390,WNV,Mosquito,Berkshire,Pittsfield,MA,8/28/24
391,391,WNV,Mosquito,Berkshire,Pittsfield,MA,8/28/24
436,436,WNV,Mosquito,Berkshire,Pittsfield,MA,9/13/24
564,5,WNV,Mosquito,Berkshire,Pittsfield,MA,7/7/23
574,15,WNV,Mosquito,Berkshire,Pittsfield,MA,7/18/23
588,29,WNV,Mosquito,Berkshire,Pittsfield,MA,8/8/23
607,48,WNV,Mosquito,Berkshire,Pittsfield,MA,8/9/23
666,107,WNV,Mosquito,Berkshire,Pittsfield,MA,8/30/23
712,154,WNV,Mosquito,Berkshire,Pittsfield,MA,9/13/23
166,166,WNV,Mosquito,Middlesex,Melrose,MA,8/6/24
167,167,WNV,Mosquito,Middlesex,Melrose,MA,8/6/24
168,168,WNV,Mosquito,Middlesex,Melrose,MA,8/6/24
422,422,EEE,Mosquito,Middlesex,Concord,MA,9/5/24
424,424,EEE,Mosquito,Middlesex,Concord,MA,9/10/24
88,88,WNV,Mosquito,Essex,Saugus,MA,7/29/24
178,178,WNV,Mosquito,Essex,Saugus,MA,8/5/24
365,365,WNV,Mosquito,Essex,Saugus,MA,8/26/24
448,448,WNV,Mosquito,Essex,Lynn,MA,9/25/24
428,428,WNV,Mosquito,Essex,Swampscott,MA,9/9/24
63,63,WNV,Mosquito,Middlesex,Woburn,MA,7/24/24
181,181,WNV,Mosquito,Middlesex,Woburn,MA,8/7/24
268,268,WNV,Mosquito,Middlesex,Woburn,MA,8/12/24
492,36,WNV,Mosquito,Middlesex,Woburn,MA,8/15/22
586,27,WNV,Mosquito,Middlesex,Woburn,MA,8/7/23
169,169,WNV,Mosquito,Middlesex,Stoneham,MA,8/6/24
265,265,WNV,Mosquito,Middlesex,Stoneham,MA,8/12/24
482,26,WNV,Mosquito,Middlesex,Stoneham,MA,8/8/22
587,28,WNV,Mosquito,Middlesex,Stoneham,MA,8/7/23
744,180,WNV,Mosquito,Middlesex,Stoneham,MA,9/20/23
85,85,WNV,Mosquito,Middlesex,Bedford,MA,7/24/24
86,86,WNV,Mosquito,Middlesex,Burlington,MA,7/24/24
165,165,WNV,Mosquito,Middlesex,Burlington,MA,7/31/24
577,18,WNV,Mosquito,Middlesex,Burlington,MA,8/1/23
170,170,WNV,Mosquito,Middlesex,Wakefield,MA,8/6/24
171,171,WNV,Mosquito,Middlesex,Wakefield,MA,8/6/24
363,363,WNV,Mosquito,Middlesex,Wakefield,MA,8/27/24
637,78,WNV,Mosquito,Middlesex,Wakefield,MA,8/22/23
638,79,WNV,Mosquito,Middlesex,Wakefield,MA,8/22/23
546,90,WNV,Mosquito,Berkshire,Lanesborough,MA,9/13/22
278,278,WNV,Mosquito,Middlesex,Reading,MA,8/13/24
636,77,WNV,Mosquito,Middlesex,Reading,MA,8/22/23
256,256,WNV,Mosquito,Worcester,Leominster,MA,8/6/24
459,3,WNV,Mosquito,Essex,Lynnfield,MA,7/18/22
753,189,WNV,Mosquito,Franklin,Deerfield,MA,10/5/23
743,179,WNV,Mosquito,Worcester,Westminster,MA,9/25/23
254,254,WNV,Mosquito,Middlesex,Billerica,MA,8/7/24
678,119,WNV,Mosquito,Middlesex,Ayer,MA,9/6/23
361,361,EEE,Mosquito,Middlesex,North Reading,MA,8/27/24
362,362,EEE,Mosquito,Middlesex,North Reading,MA,8/27/24
452,452,EEE,Mosquito,Worcester,Gardner,MA,10/1/24
372,372,WNV,Mosquito,Franklin,Greenfield,MA,8/28/24
144,144,WNV,Mosquito,Norfolk,Franklin,MA,7/31/24
639,80,WNV,Mosquito,Essex,Middleton,MA,8/21/23
602,43,WNV,Mosquito,Middlesex,Chelmsford,MA,8/10/23
267,267,WNV,Mosquito,Middlesex,Tewksbury,MA,8/6/24
756,192,WNV,Human,Middlesex,Tewksbury,MA,11/1/23
137,137,WNV,Mosquito,Middlesex,Lowell,MA,7/31/24
257,257,WNV,Mosquito,Middlesex,Lowell,MA,8/6/24
258,258,WNV,Mosquito,Middlesex,Lowell,MA,8/6/24
259,259,WNV,Mosquito,Middlesex,Lowell,MA,8/9/24
260,260,WNV,Mosquito,Middlesex,Lowell,MA,8/9/24
644,85,WNV,Mosquito,Middlesex,Lowell,MA,8/25/23
645,86,WNV,Mosquito,Middlesex,Lowell,MA,8/25/23
646,87,WNV,Mosquito,Middlesex,Lowell,MA,8/25/23
714,156,WNV,Mosquito,Essex,Andover,MA,9/18/23
441,441,WNV,Mosquito,Essex,Boxford,MA,9/16/24
31,31,WNV,Mosquito,Middlesex,Dracut,MA,7/16/24
333,333,WNV,Mosquito,Essex,Ipswich,MA,8/20/24
660,101,WNV,Mosquito,Essex,Lawrence,MA,8/30/23
508,52,WNV,Mosquito,Essex,Rowley,MA,8/23/22
325,325,WNV,Mosquito,Berkshire,Clarksburg,MA,8/14/24
426,426,WNV,Mosquito,Berkshire,Clarksburg,MA,9/5/24
43,43,WNV,Mosquito,Essex,Haverhill,MA,7/22/24
44,44,WNV,Mosquito,Essex,Haverhill ,MA,7/22/24
45,45,WNV,Mosquito,Essex,Haverhill ,MA,7/22/24
89,89,EEE,Mosquito,Essex,Haverhill,MA,7/30/24
90,90,WNV,Mosquito,Essex,Haverhill,MA,7/30/24
279,279,WNV,Mosquito,Essex,Haverhill,MA,8/12/24
475,19,WNV,Mosquito,Essex,Haverhill,MA,8/1/22
567,8,WNV,Mosquito,Essex,Haverhill,MA,7/24/23
674,115,WNV,Mosquito,Essex,Haverhill,MA,9/6/23
694,135,WNV,Mosquito,Essex,Haverhill,MA,9/11/23
180,180,WNV,Mosquito,Essex,Newburyport,MA,8/6/24
91,91,EEE,Mosquito,Essex,Amesbury,MA,7/30/24
